,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
142,1.0,0.0,15,15,0.022857142857142857,0.022857142857142857,0.017142857142857144,0.01,50000,out/autophagy/explore_parameter_space_00002335
143,2.0,1.0,5,5,0.02857142857142857,0.0,0.022857142857142857,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002596
144,1.0,0.0,8,8,0.02857142857142857,0.02857142857142857,0.022857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002917
145,4.0,0.0,15,15,0.005714285714285714,0.011428571428571429,0.005714285714285714,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000652
146,6.0,1.0,89,89,0.0,0.0,0.022857142857142857,0.0,50000,out/autophagy/explore_parameter_space_00000032
147,,,23,23,0.005714285714285714,0.02857142857142857,0.011428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00000852
148,5.0,3.0,11,11,0.005714285714285714,0.03428571428571429,0.011428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00000914
149,1.0,0.0,12,12,0.017142857142857144,0.005714285714285714,0.03428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001654
150,6.0,2.0,25,25,0.011428571428571429,0.04,0.03428571428571429,0.0,50000,out/autophagy/explore_parameter_space_00001520
151,2.0,1.0,10,10,0.022857142857142857,0.04,0.005714285714285714,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002507
152,2.0,1.0,5,5,0.02857142857142857,0.005714285714285714,0.011428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002645
153,2.0,1.0,5,5,0.02857142857142857,0.0,0.022857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002597
154,2.0,1.0,3,3,0.022857142857142857,0.005714285714285714,0.005714285714285714,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002124
155,4.0,0.0,131,131,0.005714285714285714,0.0,0.0,0.01,50000,out/autophagy/explore_parameter_space_00000519
156,4.0,1.0,11,11,0.011428571428571429,0.0,0.011428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001041
157,2.0,1.0,10,10,0.011428571428571429,0.03428571428571429,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00001435
158,1.0,0.0,3,3,0.022857142857142857,0.04,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002549
159,1.0,0.0,12,12,0.02857142857142857,0.017142857142857144,0.022857142857142857,0.01,50000,out/autophagy/explore_parameter_space_00002791
160,3.0,2.0,4,4,0.02857142857142857,0.017142857142857144,0.03428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002805
161,2.0,1.0,4,4,0.011428571428571429,0.02857142857142857,0.017142857142857144,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001373
162,1.0,0.0,12,12,0.011428571428571429,0.005714285714285714,0.011428571428571429,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001108
163,3.0,2.0,4,4,0.02857142857142857,0.005714285714285714,0.0,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002629
164,4.0,3.0,6,6,0.017142857142857144,0.0,0.005714285714285714,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001549
165,,,20,20,0.005714285714285714,0.04,0.011428571428571429,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000981
166,1.0,0.0,3,3,0.011428571428571429,0.04,0.005714285714285714,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001485
167,1.0,0.0,8,8,0.022857142857142857,0.011428571428571429,0.04,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002237
168,2.0,0.0,8,8,0.005714285714285714,0.022857142857142857,0.0,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00000770
